,train,val,test
0,5251,38349,1952
1,16209,15231,26533
2,50932,6359,39880
3,9509,10548,47960
4,26644,36063,45990
5,4211,22155,4877
6,43432,1660,16876
7,64950,57598,15470
8,39297,48506,43796
9,51021,53377,52375
10,6558,34247,52438
11,61033,2097,20463
12,15221,24617,3055
13,43390,18914,61493
14,3881,36008,39255
15,39425,36499,19512
16,38366,17637,47911
17,54473,20312,9341
18,8130,24507,63298
19,21260,60287,46172
20,26862,14127,4
21,34688,62641,17365
22,65022,29904,27739
23,38959,30508,8805
24,52612,8213,27950
25,33708,25561,28922
26,40864,57100,38097
27,39466,15209,5851
28,56500,53059,12159
29,2391,5114,6175
30,10252,48861,18568
31,25256,20316,8240
32,10246,12244,31793
33,46688,3092,11557
34,8531,34277,57162
35,32042,281,5852
36,28736,10469,53655
37,38118,59760,10800
38,30792,22740,61320
39,7204,45254,59002
40,17487,49942,53859
41,34690,51499,51215
42,18810,34822,46444
43,40503,17738,18138
44,40124,50048,52836
45,61823,52108,2906
46,43998,35754,33984
47,30712,59900,23629
48,29615,4797,56799
49,21929,3997,39208
50,22425,57265,37307
51,62828,48502,56993
52,9658,56861,57696
53,44283,17291,20205
54,29915,11263,45725
55,30203,7482,56947
56,52931,13987,25923
57,60685,60988,12222
58,63165,4827,14051
59,52420,40888,22290
60,28603,58947,52461
61,24563,44581,38669
62,17067,7955,12442
63,30369,15486,46543
64,21020,8279,42549
65,21445,26219,36302
66,51893,30272,6449
67,38019,55287,31033
68,14532,18813,26950
69,3084,16325,42857
70,49587,38687,44976
71,25331,35197,52259
72,14312,44603,3191
73,30868,27315,40129
74,56117,46769,13526
75,2227,63289,18014
76,39872,22489,25928
77,36678,32032,61961
78,34508,63015,59515
79,39252,64824,42296
80,,51346,5970
